relation,entity1,chunk1,entity2,chunk2
greater progression,Gene,ApoE Gene,Disease,disability Disease
abnormal neural repair,Gene,ApoE Gene,Disease,multiple sclerosis Disease
overexpression may make tumours less susceptible to therapy involving apoptosis,Gene,cIAP-2 Gene,Disease,tumours Disease
recombinant killerTRAIL,Gene,TRAIL Gene,Disease,bladder cancer Disease
progression,Gene,CYP17A1 Gene,Disease,tumors Disease
progression,Gene,CYP17A1 Gene,Disease,prostate cancer Disease
progression,Gene,CYP19A1 Gene,Disease,tumors Disease
progression,Gene,CYP19A1 Gene,Disease,prostate cancer Disease
progression,Gene,KLK3 Gene,Disease,tumors Disease
progression,Gene,KLK3 Gene,Disease,prostate cancer Disease
influences platelet phenotype,Gene,eNOS Gene,Disease,platelet aggregation Disease
influences platelet phenotype,Gene,eNOS Gene,Disease,coronary syndrome Disease
17.5%.,Gene,ANKK1 Gene,Disease,psychiatric Disease
17.5%.,Gene,ANKK1 Gene,Disease,schizophrenia Disease
activation produces nitric oxide-mediated systemic hypotension,Gene,nociceptin receptor Gene,Disease,hypotension Disease
nitric oxide-mediated systemic hypotension,Gene,nociceptin Gene,Disease,hypotension Disease
a risk factor,Gene,LDLR Gene,Disease,atherosclerosis Disease
AMP-activated protein kinase,Gene,AMPK Gene,Disease,atherosclerosis Disease
a risk factor for atherosclerosis,Gene,SREBP-1 Gene,Disease,atherosclerosis Disease
sterol regulatory element-binding protein-2,Gene,SREBP-2 Gene,Disease,atherosclerosis Disease
overexpression,Gene,alpha-synuclein Gene,Disease,PD Disease
overexpression,Gene,alpha-synuclein Gene,Disease,neurodegenerative disorder Disease
increased obesity risk or resistance,Gene,FTO Gene,Disease,obesity Disease
pathogenesis,Gene,DKK4 Gene,Disease,schizophrenia Disease
polymorphism with AA,Gene,eNOS Gene,Disease,Alopecia areata Disease
polymorphism with AA,Gene,eNOS Gene,Disease,inflammatory disease Disease
pathogenesis,Gene,HFE Gene,Disease,hemochromatosis Disease
Hereditary hemochromatosis,Gene,HFE Gene,Disease,autosomal recessive diseases Disease
increased HDL,Gene,estrogen receptor alpha Gene,Disease,diabetes mellitus Disease
glucocorticoid receptor,Gene,GR Gene,Disease,diabetes mellitus Disease
progression,Gene,hAR Gene,Disease,prostatic cancer Disease
alteration to the gene at position 38 may contribute to asthma,Gene,CC16 Gene,Disease,asthma Disease
Haploinsufficiency,Gene,TCF4 Gene,Disease,mental retardation Disease
Haploinsufficiency,Gene,TCF4 Gene,Disease,microcephaly Disease
founder mutations,Gene,BRCA1 Gene,Disease,breast cancer Disease
about 40%.,Gene,BRCA1 Gene,Disease,ovarian cancer Disease
founder mutations,Gene,BRCA2 Gene,Disease,breast cancer Disease
hyper-reactive,Gene,IgE Gene,Disease,onchocerciasis Disease
hyper-reactive,Gene,IL-13 Gene,Disease,onchocerciasis Disease
cancer-related thrombosis,Gene,FVL Gene,Disease,cancer Disease
cancer-related thrombosis,Gene,FVL Gene,Disease,thrombosis Disease
insulin resistance,Gene,insulin Gene,Disease,diabetes Disease
insulin resistance,Gene,insulin Gene,Disease,type 2 diabetes Disease
insulin resistance,Gene,insulin Gene,Disease,glucose metabolism Disease
Keratin 17,Gene,K17 Gene,Disease,mild focal keratoderma Disease
Keratin 17,Gene,K17 Gene,Disease,ectodermal dysplasia Disease
hypertrophic nail dystrophy,Gene,K17 Gene,Disease,dystrophy Disease
Pachyonychia congenita type 2,Gene,K17 Gene,Disease,autosomal dominant disorder Disease
C282Y and H63D mutations,Gene,HFE Gene,Disease,Hyperferritinemia Disease
progressive,Gene,HFE Gene,Disease,hemochromatosis Disease
C282Y and H63D mutations,Gene,HFE Gene,Disease,genetic disorder Disease
C282Y and H63D mutations in the HFE gene,Gene,transferrin Gene,Disease,Hyperferritinemia Disease
progressive,Gene,transferrin Gene,Disease,hemochromatosis Disease
progressive,Gene,transferrin Gene,Disease,genetic disorder Disease
bromodomain-containing protein 4,Gene,BRD4 Gene,Disease,cancers Disease
bromodomain-containing protein 4,Gene,BRD4 Gene,Disease,osteosarcoma Disease
rapamycin,Gene,mTOR Gene,Disease,osteosarcoma Disease
upregulation,Gene,p21 Gene,Disease,cancers Disease
upregulation,Gene,p21 Gene,Disease,osteosarcoma Disease
Overexpression,Gene,RUNX2 Gene,Disease,osteosarcoma Disease
recurrent,Gene,PLCG1 Gene,Disease,angiosarcoma Disease
recurrent,Gene,PLCG1 Gene,Disease,tumors Disease
negative regulator of vascular growth factor tyrosine kinases,Gene,PTPRB Gene,Disease,angiosarcoma Disease
negative regulator of vascular growth factor tyrosine kinases,Gene,PTPRB Gene,Disease,tumors Disease
progressive,Gene,ACE Gene,Disease,hypertrophic cardiomyopathy Disease
greater progression,Gene,ACE Gene,Disease,hypertrophy Disease
greater progression,Gene,ACE Gene,Disease,left ventricular hypertrophy Disease
greater progression of left ventricular hypertrophy,Gene,ACE Gene,Disease,primary disorder of the myocardium Disease
greater progression,Gene,ACE Gene,Disease,ventricular hypertrophy Disease
predisposing,Gene,SPINK5 Gene,Disease,atopic diseases Disease
predisposing to atopic diseases,Gene,SPINK5 Gene,Disease,asthma Disease
predisposing,Gene,SPINK5 Gene,Disease,atopic dermatitis Disease
predisposing,Gene,serine protease Gene,Disease,atopic diseases Disease
predisposing,Gene,serine protease Gene,Disease,atopic dermatitis Disease
obesity,Gene,apo B Gene,Disease,obesity Disease
apolipoprotein E,Gene,apoE Gene,Disease,type III hyperlipoproteinemia Disease
exacerbates,Gene,apoE Gene,Disease,xanthomas Disease
exacerbates development of atherosclerosis,Gene,apoE Gene,Disease,atherosclerosis Disease
